# LIFETIMES Table
 Responsible renderer: React+Ink (target) | pi-tui (archived / legacy)

| struct name | field name | lifetime / ownership | rationale | risk level |
|---|---|---|---|---|
| (None) | — | — | React components use hooks, no manual lifetimes | N/A |
| `InkRenderable` | — | `static` (committed once) | Ink caches subcomponents; must be idempotent on mount | None |
| `OverlayHandle` | hide() | synchronous, once | Overlay closes immediately, no backward compatibility needed | Low |
| `RuntimeContext` | viewportWidth, cursor, scrollbackRanges | session-scoped lifetime | Read-only state; must update before rendering starts | Low |
| `CursorState` | row, col | computed per frame | Should be recomputed each render; no stored state beyond metadata | None |
| `KittyImageCache` | id → imageFrame | machine-scoped | Stored as persistent cache; evict on max size (4096 frames) | Low |
| `SessionTranscript` | lines, metadata | session lifecycle | Owned by packages/transcript. React+Ink only streams, doesn't own persistence | None |
| `OverlayStack` | entries[] | runtime call stack | Simulated via React rendering order; cleared on unmount | Low |
| `InputListenerList` | listeners[] | instrumented registration/deregistration | Managed by React `useMemo` + cleanup functions | None |
